ProductID,StockoutRate,DemandVariability,ReorderPoint,InventoryTurnoverRatio,FillRate,EOQ,DaysOfSupply,DeadStockPercentage,RevenueLostStockouts,SafetyStock
PROD-1,0.0,19.70579101707438,718.045321916867,185.010040261955,1.0,969.5441666260494,1.9728659022137283,66.3013698630137,0.0,72.7246720197974
PROD-10,0.0,5.51307069764539,197.9316439522665,49.252553754190714,1.0,499.5473106172465,7.410783242258652,99.72602739726028,0.0,20.429510834841523
PROD-100,0.0,32.75588091407901,1172.226183915686,304.14650189562656,1.0,1214.0311794733109,1.2000795594396032,41.0958904109589,0.0,122.00658398056825
PROD-1000,0.0,12.9645761532593,418.8133494991703,111.20833132906826,1.0,752.2465226240329,3.2821281970318914,84.65753424657534,0.0,45.89342562169094
PROD-10000,0.0,18.052592226759998,629.9617556698454,155.40945076694706,1.0,914.4969615027727,2.3486345148169665,79.17808219178082,0.0,66.05554967173408
PROD-1001,0.0,29.150116793027053,1059.023369972802,254.471957245729,1.0,1139.0825165999013,1.434342722673919,51.23287671232877,0.0,109.910519167468
PROD-1002,0.0,11.605274771800014,409.6236749649809,106.97428499114147,1.0,719.7354969397824,3.4120349580296385,83.83561643835617,0.0,42.582537992837544
PROD-1003,0.0,24.622417941823297,871.4072917654278,222.79331401567455,1.0,1058.7498762593689,1.6382897377895305,56.71232876712329,0.0,89.49061472896496
PROD-1004,0.0,9.163291109588005,319.06094341987085,84.31222604143673,1.0,635.1639689207884,4.3291467576791804,91.5068493150685,0.0,34.0480469619239
PROD-1005,0.0,9.233239796835553,336.1356919339472,81.05259566171094,1.0,647.4814215267347,4.503248748792695,93.15068493150685,0.0,34.621613519368246
PROD-1006,0.0,27.777228790132586,1030.1911199725887,279.88679003239156,1.0,1132.8817984675939,1.3040987034713507,44.657534246575345,0.0,102.79281663488209
PROD-1007,0.0,31.750001452005,1068.4517539137928,271.19932577616913,1.0,1182.3843826226455,1.3458735524337109,44.109589041095894,0.0,114.64417030993377
PROD-1008,0.0,9.65025764047119,336.5455234470081,90.19261120571498,1.0,656.1310325706161,4.046894697033364,92.87671232876711,0.0,35.3894883299279
PROD-1009,0.0,5.430715328100044,193.3816218756179,50.10145800448617,1.0,487.5458530241132,7.285217128158571,98.9041095890411,0.0,20.265937974658467
PROD-101,0.0,7.668570254133827,273.7346136848224,69.22172110565134,1.0,592.7856346571579,5.272911366114545,95.06849315068493,0.0,28.207886921742546
PROD-1010,0.0,4.919849842707142,169.11137168656026,43.647575229791904,1.0,455.9288649421055,8.362434753325475,100.0,0.0,18.097058960922453
PROD-1011,0.0,19.088465542955117,668.8047981455454,167.7232482158897,1.0,935.7389691238742,2.1762039781758817,74.79452054794521,0.0,70.562062244759
PROD-1012,0.0,27.058055569789623,918.5794121218078,237.39062667433,1.0,1114.3254316793182,1.5375501767419568,52.602739726027394,0.0,97.8140288254937
PROD-1013,0.0,3.5711052089047106,116.07587717909175,28.395076659720154,1.0,394.84200962945835,12.854341066730447,100.0,0.0,12.953569142240845
PROD-1014,0.0,15.805635841098333,554.6862732399737,138.10143456893294,1.0,835.6640457069043,2.642984854859066,78.9041095890411,0.0,58.871615807602666
PROD-1015,0.0,13.873077925735293,500.3696093825042,117.49122807017544,1.0,773.4357070438158,3.106614902195013,87.12328767123287,0.0,52.33587902500602
PROD-1016,0.0,20.416483203325942,709.1017373777042,189.6678537536097,1.0,967.3190047385099,1.9244167779436026,67.3972602739726,0.0,74.28782212170087
PROD-1017,0.0,30.44511055796888,1033.240028381521,270.6017850244983,1.0,1147.0313843084818,1.3488454999177317,44.93150684931507,0.0,111.67946738508567
PROD-1018,0.0,27.04669219392914,953.8839808692387,253.31055429005315,1.0,1107.3525711306647,1.4409190371991247,53.42465753424658,0.0,98.4126325123265
PROD-1019,0.0,11.983481279398177,437.03068448243005,109.44263132076605,1.0,737.9824014850761,3.3350806316984407,88.21917808219179,0.0,44.683117698290275
PROD-102,0.0,11.536706173868026,409.6161119911455,104.79473799083314,1.0,744.0180972769666,3.4829993089149967,85.75342465753425,0.0,42.34266775242533
PROD-1020,0.0,12.041820848408898,449.3209110436773,116.5398160235587,1.0,741.7211884218245,3.1319767994675285,84.10958904109589,0.0,44.37972906905881
PROD-1021,0.0,16.35305336498267,586.5802161893391,138.6609891043677,1.0,854.4514891227818,2.6323193160353915,81.64383561643835,0.0,60.92696608089782
PROD-1022,0.0,20.17866792355358,686.1553503559627,177.90767374031984,1.0,944.5991029822557,2.051625949158138,70.95890410958904,0.0,73.99934381018473
PROD-1023,0.0,18.028156344874613,610.7212061817893,156.25169113843458,1.0,883.778939888945,2.3359747170775917,74.24657534246575,0.0,66.18626959789715
PROD-1024,0.0,6.511302832709929,238.40210530930133,61.87610699168443,1.0,560.187296780046,5.8988843633787855,96.98630136986301,0.0,23.84516050115954
PROD-1025,0.0,18.643680651637784,676.5085196638893,169.6044792854984,1.0,944.2338434492021,2.1520658035545672,72.87671232876713,0.0,68.55956751293895
PROD-1026,0.0,4.558081854374568,165.2545519427553,43.17587351161429,1.0,463.696538786994,8.453795379537954,100.0,0.0,16.853917529373106
PROD-1027,0.0,34.40344553354003,1233.3935638717119,314.8202137509057,1.0,1267.2152842431947,1.1593918816432731,36.71232876712329,0.0,127.34855745431184
PROD-1028,0.0,29.952837382437874,986.9275897197442,257.6791997978109,1.0,1143.306746783496,1.4164899622724645,52.054794520547944,0.0,107.53438352668636
PROD-1029,0.0,14.912077612070522,534.0466001861672,128.8666640660048,1.0,809.4113211307731,2.8323849511076737,83.28767123287672,0.0,55.88571702111175
PROD-103,0.0,26.25158274978642,940.3850228392604,228.067210259658,1.0,1061.6874654416724,1.6004054225262891,59.178082191780824,0.0,98.8516819667053
PROD-1030,0.0,16.86099896702118,621.1240674128136,150.46659326768201,1.0,878.9705449908884,2.4257876255007664,74.24657534246575,0.0,64.51801001025778
PROD-1031,0.0,11.389192846008738,393.48132726863776,97.20247668853915,1.0,702.197912130331,3.755048353032717,89.04109589041096,0.0,42.39877543674836
PROD-1032,0.0,21.286155276208806,764.6448643648669,189.79942354009557,1.0,966.4714487690255,1.9230827638572514,70.41095890410959,0.0,79.13569985945945
PROD-1033,0.0,23.860960401481076,817.5728780201237,217.95673570870832,1.0,1027.2621528862537,1.6746442765953786,59.45205479452055,0.0,87.23573702942528
PROD-1034,0.0,23.335298871358507,802.4408090689068,211.3461678509379,1.0,1010.8935761960054,1.7270244533481862,60.0,0.0,86.37846014974286
PROD-1035,0.0,23.27071632213792,855.5302216027414,212.19753197262622,1.0,1019.9038999010143,1.7200954064210583,60.54794520547945,0.0,87.0489788750867
PROD-1036,0.0,35.089810151330546,1169.9628893684858,313.8333881376135,1.0,1255.6983752095914,1.1630375026890074,35.89041095890411,0.0,127.82226370931869
PROD-1037,0.0,23.256735883654535,855.9111499879889,224.84914253184377,1.0,1025.6166712049173,1.6233106156867272,55.89041095890411,0.0,85.33454475042177
PROD-1038,0.0,18.057238763019484,669.0305982458615,168.26222810973698,1.0,916.6183340125938,2.16923313152584,73.42465753424658,0.0,67.54687624846049
PROD-1039,0.0,28.835336603923476,1053.63691933636,267.8359025310612,1.0,1159.6014110105643,1.362774730910732,51.78082191780822,0.0,106.85366719997911
PROD-104,0.0,6.107611674566739,218.96861586050835,57.37538509738395,1.0,523.4139157155877,6.361613074674462,97.53424657534246,0.0,22.73080835546328
PROD-1040,0.0,7.818119121786179,295.87992779133003,74.81193848028019,1.0,608.7479928888708,4.87890044576523,90.95890410958904,0.0,29.237513230841977
PROD-1041,0.0,17.18432537771966,623.7017423356732,157.09164896322673,1.0,875.2821202912359,2.323484427141268,73.97260273972603,0.0,63.765511476683585
PROD-1042,0.0,26.74851322048102,941.4845262578185,235.5040089373103,1.0,1089.6263799644273,1.5498674593567565,53.15068493150685,0.0,99.09370599631349
PROD-1043,0.0,16.818790073407275,597.51798807502,146.96785194794984,1.0,871.1967550000979,2.483536332348849,78.35616438356165,0.0,62.662172589645515
PROD-1044,0.0,24.163914758507605,864.7735133462431,222.49079442376586,1.0,1050.2405347164772,1.6405173119423755,54.24657534246575,0.0,88.71230902109812
PROD-1045,0.0,23.401586411509424,856.2698181610809,200.73096028867047,1.0,1007.9653504532496,1.8183542761669391,67.12328767123287,0.0,88.18937882058765
PROD-1046,0.0,29.56254898132211,1070.6055986643269,264.7073359300073,1.0,1148.3219557192156,1.3788813170501315,48.49315068493151,0.0,109.66740696144723
PROD-1047,0.0,36.29317560940544,1197.0338786327234,324.05957608338804,1.0,1237.897724569649,1.1263361027975827,36.71232876712329,0.0,131.4605369508252
PROD-1048,0.0,9.816067741717179,343.51366813537555,85.23667960311239,1.0,663.6560387496564,4.282194023741302,93.69863013698631,0.0,35.897582610119514
PROD-1049,0.0,28.31774613823533,961.7169719939923,256.87939911205615,1.0,1142.3752879689062,1.420900240586359,52.87671232876713,0.0,101.22199148680403
